Station,SPEI,Lead Time,Model,MAE,MSE,RMSE,RRMSE (%),R2
Nepalgunj_Airport,SPEI-1,Lead 30,Random Forest,0.0534860831043574,0.004296361921669786,0.06554663928585344,7.185525346389045,0.48364478653077136
Nepalgunj_Airport,SPEI-1,Lead 30,LSTM,0.06713535695534609,0.0072446802296639605,0.08511568733003312,9.330774778826473,0.12930323964640356
Nepalgunj_Airport,SPEI-1,Lead 30,Transformer,0.129602437913233,0.019007650888361705,0.13786823741660623,15.113752973645042,-1.2844210545917156
Parwanipur,SPEI-1,Lead 30,Random Forest,0.07920857969803691,0.02227662337485269,0.14925355397729292,15.465112800318352,-1.581995006088218
Parwanipur,SPEI-1,Lead 30,LSTM,0.05989778828320847,0.005458291054121541,0.0738802480648349,7.65520377633353,0.36735114625014353
Parwanipur,SPEI-1,Lead 30,Transformer,0.09526456344759406,0.012896163977577925,0.11356127851331159,11.766808462222093,-0.49474318560279396
Jumla,SPEI-1,Lead 30,Random Forest,0.12145154294545624,0.03704258608256099,0.1924645060330891,20.875316376484886,-1.0139828689499906
Jumla,SPEI-1,Lead 30,LSTM,0.10666435047507017,0.016958690567238362,0.13022553730831124,14.124678610306256,0.07796631136611665
Jumla,SPEI-1,Lead 30,Transformer,0.1100234757145282,0.017972168450228948,0.13406031646325825,14.540611032046947,0.02286413545827226
Dhankuta,SPEI-1,Lead 30,Random Forest,0.0818113582587036,0.009464806381766751,0.09728723647923582,10.787151863822531,0.4699515767870739
Dhankuta,SPEI-1,Lead 30,LSTM,0.08447485211724355,0.009510402506069368,0.0975212925779256,10.813103867112908,0.4673981010141536
Dhankuta,SPEI-1,Lead 30,Transformer,0.10357953811512975,0.016437864013093273,0.12821023365197207,14.215875699122915,0.07944615561145763
Taplejung,SPEI-1,Lead 30,Random Forest,0.09374955208803322,0.014464355178105993,0.12026784764892899,13.660284927986922,0.61295169214246
Taplejung,SPEI-1,Lead 30,LSTM,0.08848553048986876,0.0109561893395597,0.10467181731277861,11.888853724202182,0.7068258838899257
Taplejung,SPEI-1,Lead 30,Transformer,0.12851165215086274,0.0319099722436516,0.17863362573617433,20.289597535648998,0.14612849251786286
Pokhara_Airport,SPEI-1,Lead 30,Random Forest,0.09511570386353022,0.013332890450670105,0.11546813608381364,11.993440802664434,0.727757635630677
Pokhara_Airport,SPEI-1,Lead 30,LSTM,0.1066381836676631,0.01743478937349538,0.13204086251420574,13.714816241143716,0.6440015539853946
Pokhara_Airport,SPEI-1,Lead 30,Transformer,0.13662961879893254,0.028052237996831916,0.16748802344296715,17.39664086082089,0.4272054040821547
Dhangadhi,SPEI-1,Lead 30,Random Forest,0.05333059325036654,0.003704241095686374,0.06086247691054295,6.3026474388498785,0.6569089163832288
Dhangadhi,SPEI-1,Lead 30,LSTM,0.09077497311610187,0.011235020899645431,0.1059953815014854,10.976410321455862,-0.04060059681460393
Dhangadhi,SPEI-1,Lead 30,Transformer,0.1646435921675485,0.03324451410639375,0.18233078211424902,18.881364927111626,-2.079145248498525
Dadeldhura,SPEI-1,Lead 30,Random Forest,0.0985436549149719,0.016592328340778187,0.12881121201501905,14.830723394821627,0.5261727372992284
Dadeldhura,SPEI-1,Lead 30,LSTM,0.11875735655958464,0.023698549907399506,0.15394333342954317,17.724318876094028,0.32324030708796325
Dadeldhura,SPEI-1,Lead 30,Transformer,0.15442429878568553,0.03347274223711891,0.18295557449041805,21.06465327328573,0.0441186129180291
Surkhet_Airport,SPEI-1,Lead 30,Random Forest,0.05547281841864673,0.006510061322759523,0.08068495103028521,9.21018419046232,0.46586496755803297
Surkhet_Airport,SPEI-1,Lead 30,LSTM,0.09244507067046044,0.013468170475069301,0.11605244708781155,13.247382563712867,-0.10503132259063319
Surkhet_Airport,SPEI-1,Lead 30,Transformer,0.1072373695342036,0.017415434734084422,0.1319675518227281,15.064091183441237,-0.42889495743460593
Biratnagar_Airport,SPEI-1,Lead 30,Random Forest,0.06931840986814183,0.007023931281244129,0.08380889738711594,9.706322948382345,-0.03195394970034182
Biratnagar_Airport,SPEI-1,Lead 30,LSTM,0.12757165497543746,0.019224749215279464,0.1386533418828391,16.058129341219537,-1.8244945871953564
Biratnagar_Airport,SPEI-1,Lead 30,Transformer,0.11373162499826765,0.018489033526427633,0.13597438555267544,15.74786615776452,-1.716403451253509
Khumaltar,SPEI-1,Lead 30,Random Forest,0.07890960777779564,0.01296480863990567,0.11386311360535364,13.155542113813262,0.323180511312227
Khumaltar,SPEI-1,Lead 30,LSTM,0.08278728738188976,0.011899520630993504,0.10908492393999046,12.603478558021678,0.3787931860167256
Khumaltar,SPEI-1,Lead 30,Transformer,0.0982158820919421,0.016265957786872523,0.12753806407058452,14.735521626521725,0.15084614527653672
